SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,NAMEPCAP,PLNGENAN,PLCO2EQA
3821,LA,Enterprise Sugar Factory,29.903611,-91.725556,AB,3.00,0.00,0.00
3822,LA,ExxonMobil Baton Rouge Turbine Generator,30.489722,-91.187222,NG,85.30,688067.00,200300.00
3823,LA,ExxonMobil Garden City Gas Plant,29.700000,-91.550000,NG,2.70,0.00,0.00
3824,LA,Formosa Plastics,30.499200,-91.187200,NG,139.00,383913.00,142129.04
3825,LA,Franklin (LA),29.822222,-91.542500,NG,10.00,0.00,0.00
3826,LA,Gaylord Container Bogalusa,30.781100,-89.857500,BLQ,99.50,528648.04,10084.39
3827,LA,Geismar,30.200000,-91.000000,NG,84.10,613554.61,193737.52
3828,LA,Geismar Cogen,30.209000,-90.992100,NG,83.90,604761.00,182266.44
3829,LA,Georgia-Pacific Port Hudson,30.654700,-91.280000,PC,127.70,682422.00,170280.58
3830,LA,Gramercy Holdings LLC,30.054000,-90.669300,NG,117.30,228802.00,81544.24
3831,LA,Grand Isle Gas Plant / Treating Station,29.252062,-89.972100,NG,9.00,3.00,2.81
3832,LA,Hargis-Hebert Electric Generating Statio,30.169400,-91.992300,NG,100.80,15584.00,12072.72
3833,LA,Houma,29.580600,-90.722500,NG,99.30,41435.00,28049.54
3834,LA,International Paper Red River Mill,31.903333,-93.173889,BLQ,78.80,391234.00,28153.58
3835,LA,Lake Charles Plant,30.148889,-93.335556,WH,36.40,160712.00,0.00
3836,LA,Lake Charles Polymers,30.196571,-93.321970,NG,31.10,195889.00,118821.70
3837,LA,Lake Charles Power,30.272631,-93.299056,NG,1000.00,0.00,0.00
3838,LA,LaO Energy Systems,30.318600,-91.232500,NG,714.50,1993049.00,698171.43
3839,LA,LEPA Unit No. 1,29.691111,-91.192778,NG,74.10,0.00,0.00
3840,LA,Lieberman Power Plant,32.704700,-93.959700,NG,278.00,56817.00,38875.14
3841,LA,Little Gypsy,30.005067,-90.461694,NG,1250.60,2511400.00,1665435.97
