Date,Topic,Do Before Class,In-Class Exercise
Th Jan 9,- Speed and Performance in Python,"- `Understanding Performance <../notebooks/PDS_not_yet_in_coursera/30_big_data/40_performance_understanding.html>`_
- `Solving Performance Problems <../notebooks/PDS_not_yet_in_coursera/30_big_data/50_performance_solutions.html>`_",
Tu Jan 14,"- Big Data: What is it, how do I work with it?","- `What is Big Data? <../notebooks/PDS_not_yet_in_coursera/30_big_data/10_big_data_what_is_it.html>`_
- `Strategies for Big Data <../notebooks/PDS_not_yet_in_coursera/30_big_data/20_big_data_strategies.html>`_
- Download the dataset linked at the top of the linked exercise before class.
- `Parquet Format <../notebooks/PDS_not_yet_in_coursera/30_big_data/30_parquet.html>`_",- `Link <exercises/Exercise_bigdata.html>`_
Th Jan 16,"- Parallelism 
- Distributed Computing","- `conda Environments <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/conda_environments.html>`_
- `Parallel Computing <../notebooks/PDS_not_yet_in_coursera/30_big_data/60_parallelism.html>`_
- `Distributed Computing with dask <../notebooks/PDS_not_yet_in_coursera/30_big_data/70_dask.html>`_
(Note reading includes a 45 minute video to watch)","- `Dask <exercises/Exercise_dask_realdata.html>`_
- `More dask (optional) <exercises/Exercise_dask.html>`_"
Tu Jan 21,- Defining Your Own Estimators,"- `Writing to Stakeholders <https://ds4humans.com/40_in_practice/25_writing_to_stakeholders.html>`_
- Review linear regression as matrix manipulations. `Here's a nice review. <https://www.stat.purdue.edu/~boli/stat512/lectures/topic3.pdf>`_
- `Review how to define classes <https://realpython.com/python3-object-oriented-programming/>`_
- `Broadcasting Gotchyas <../notebooks/class_2/week_3/41_broadcasting.html#a-common-gotcha-narrow-matrices-v-1-dimensional-vectors>`_",- `Link <exercises/Exercise_codeyourownlinearregression.html>`_
Th Jan 23,"- GIS: Intro
- GIS: Geopandas and Vector Data","- `What is GIS? <../notebooks/PDS_not_yet_in_coursera/40_gis/10_gis_what_is_gis>`_
- `Installing Geopandas <../notebooks/PDS_not_yet_in_coursera/40_gis/15_gis_setup_geopanda>`_
- `Intro to Geopandas <../notebooks/PDS_not_yet_in_coursera/40_gis/20_gis_geopandas>`_",
Tu Jan 28,- GIS: Projections,"- `Projections <../notebooks/PDS_not_yet_in_coursera/40_gis/40_gis_projections>`_
- `Projections and Geopandas <../notebooks/PDS_not_yet_in_coursera/40_gis/50_gis_crs_geopandas>`_
- `GIS Data Formats <../notebooks/PDS_not_yet_in_coursera/40_gis/60_gis_data>`_",
Th Jan 30,- GIS: Vector Spatial Joins and Maps,"- `Spatial Joins <../notebooks/PDS_not_yet_in_coursera/40_gis/30_gis_spatial_joins>`_
- `Mapping <../notebooks/PDS_not_yet_in_coursera/40_gis/70_gis_mapping>`_",
Tu Feb 4,- GIS: Raster Data,"- Raster Data
- Intro to Rasterio",
Th Feb 6,- GIS: Satellite Data,- Remote Sensing and Satellite Data,
Tu Feb 11,- GIS: Travel Distances,- Distance APIs,
Th Feb 13,- Network Data,- What is Network Data?,
Tu Feb 18,- Network Data,- Intro to graph-tool,
Th Feb 20,- Network Data,- Community Detection,
Tu Feb 25,- Network Data,- Shortest Path,
Th Feb 27,- Advanced Modelling,- SciKit-Learn,
Tu Mar 4,- Advanced Modelling,- pyGam,
Th Mar 6,- Larger Programs,Top Down Design,
Tu Mar 11,**NO CLASS**,,
Th Mar 13,**NO CLASS**,,
Tu Mar 18,- Larger Programs,Monte Carlo and Poker Project,
Th Mar 20,- Larger Programs,Poker Test Cases,
Tu Mar 25,- NLP,"- Stemming, stop words, etc., and Tokenization",
Th Mar 27,- NLP,"- Bag of Words, Topic Classification",
Tu Apr 1,- NLP,- Embeddings,
Th Apr 3,- NLP,- Token prediction,
Tu Apr 8,LAST CLASS,,
,,,
,,,
,,,
