country,population,fertility,life_expectancy,average_daily_income
Ukraine,36.7,1.62,72.3,10.8
Uruguay,3.42,1.93,78.2,28.6
USA,340,1.89,79.5,90.5
Uzbekistan,35.2,2.12,68.9,3.83
Venezuela,28.8,2.16,75.8,4.32
Vietnam,98.9,1.93,75.1,17
Yemen,34.4,3.37,67.2,2.16
South Africa,60.4,2.29,61.9,11.4
Zambia,20.6,4.6,63.4,2.94
Zimbabwe,16.7,3.29,61.7,4.46
