country,co2,income,population,continent
Norway,8.31,64300.0,5340000.0,Europe
Nepal,0.337,3770.0,28100000.0,Asia
Nauru,4.71,13600.0,10700.0,Asia
New Zealand,7.34,42900.0,4740000.0,Asia
Oman,13.9,32600.0,4830000.0,Asia
Pakistan,1.05,4740.0,212000000.0,Asia
Panama,2.62,31000.0,4179999.999999999,Americas
Peru,1.74,12800.0,32000000.0,Americas
Philippines,1.27,8520.0,107000000.0,Asia
Palau,13.2,17600.0,17900.0,Asia
Papua New Guinea,0.911,4190.0,8610000.0,Asia
Poland,9.07,31700.0,37900000.0,Europe
North Korea,1.18,1860.0,25500000.0,Asia
Portugal,4.97,34000.0,10300000.0,Europe
Paraguay,1.07,12800.0,6960000.0,Americas
Palestine,0.661,6320.0,4860000.0,Asia
Qatar,38.0,91000.0,2780000.0,Asia
Romania,3.8,28500.0,19500000.0,Europe
Russia,11.7,26700.0,146000000.0,Europe
Rwanda,0.0913,2090.0,12300000.0,Africa
Saudi Arabia,18.4,47600.0,33700000.0,Asia
Sudan,0.504,4370.0,41800000.0,Africa
Senegal,0.739,3310.0,15900000.0,Africa
Singapore,7.1,98200.0,5760000.0,Asia
Solomon Islands,0.273,2700.0,653000.0,Asia
Sierra Leone,0.141,1660.0,7650000.0,Africa
El Salvador,1.11,8620.0,6420000.0,Americas
Somalia,0.0466,1130.0,15000000.0,Africa
Serbia,5.17,17500.0,8800000.0,Europe
South Sudan,0.171,2010.0,11000000.0,Africa
Sao Tome and Principe,0.587,3990.0,211000.0,Africa
Suriname,3.1,19000.0,576000.0,Americas
Slovak Republic,6.61,31200.0,5450000.0,Europe
Slovenia,6.95,38000.0,2080000.0,Europe
Sweden,4.12,52300.0,9970000.0,Europe
Eswatini,1.06,8520.0,1140000.0,Africa
Seychelles,6.75,27500.0,97100.0,Africa
Syria,1.67,3890.0,16900000.0,Asia
Chad,0.0656,1580.0,15500000.0,Africa
Togo,0.434,2060.0,7890000.0,Africa
Thailand,4.15,18100.0,69400000.0,Asia
Tajikistan,0.603,3420.0,9100000.0,Asia
Turkmenistan,13.7,14800.0,5850000.0,Asia
Timor-Leste,0.412,3090.0,1270000.0,Asia
Tonga,1.31,6410.0,103000.0,Asia
Trinidad and Tobago,31.3,26300.0,1390000.0,Americas
Tunisia,2.73,11400.0,11600000.0,Africa
Turkey,5.2,28300.0,82300000.0,Asia
