country,population,country,fertility,country,life_expectancy,country,average_daily_income
Iraq,45.5M,Iraq,3.99,Iraq,73.8,Iraq,10.7
Iceland,375k,Iceland,1.87,Iceland,84.6,Iceland,62.5
Israel,9.17M,Israel,2.8,Israel,83.6,Israel,45.8
Italy,58.9M,Italy,1.55,Italy,83.8,Italy,56.3
Jamaica,2.83M,Jamaica,1.91,Jamaica,76.9,Jamaica,15.4
Jordan,11.3M,Jordan,2.97,Jordan,77.2,Jordan,13.6
Japan,123M,Japan,1.54,Japan,85.3,Japan,53.6
Kazakhstan,19.6M,Kazakhstan,2.45,Kazakhstan,70.7,Kazakhstan,13.1
Kenya,55.1M,Kenya,3.47,Kenya,66.9,Kenya,3.81
Kyrgyz Republic,6.74M,Kyrgyz Republic,2.73,Kyrgyz Republic,73.3,Kyrgyz Republic,7.19
Cambodia,16.9M,Cambodia,2.37,Cambodia,70.7,Cambodia,6.19
Kiribati,134k,Kiribati,3.38,Kiribati,61.4,Kiribati,6.44
South Korea,51.8M,South Korea,1.41,South Korea,83.4,South Korea,50.1
Kuwait,4.31M,Kuwait,1.91,Kuwait,82.3,Kuwait,48.8
Lao,7.63M,Lao,2.37,Lao,70.1,Lao,7.04
Lebanon,5.35M,Lebanon,1.69,Lebanon,73.6,Lebanon,21.2
Liberia,5.42M,Liberia,4.13,Liberia,67.1,Liberia,3.8
Libya,6.89M,Libya,2.04,Libya,76.8,Libya,21.8
St. Lucia,180k,St. Lucia,1.41,St. Lucia,75.8,St. Lucia,20.9
Sri Lanka,21.9M,Sri Lanka,1.96,Sri Lanka,78.1,Sri Lanka,8.64
Lesotho,2.33M,Lesotho,2.79,Lesotho,52.5,Lesotho,4.16
Lithuania,2.72M,Lithuania,1.71,Lithuania,76.9,Lithuania,46.9
Luxembourg,655k,Luxembourg,1.63,Luxembourg,83.5,Luxembourg,94.4
Latvia,1.83M,Latvia,1.63,Latvia,76.4,Latvia,38.3
Morocco,37.8M,Morocco,2.27,Morocco,74.3,Morocco,11.7
Moldova,3.44M,Moldova,1.25,Moldova,72.8,Moldova,10.6
Madagascar,30.3M,Madagascar,3.82,Madagascar,66,Madagascar,1.62
Maldives,521k,Maldives,1.86,Maldives,80,Maldives,20.3
Mexico,128M,Mexico,1.99,Mexico,76.5,Mexico,15.2
North Macedonia,2.09M,North Macedonia,1.59,North Macedonia,72.4,North Macedonia,15.6
Mali,23.3M,Mali,5.42,Mali,62.2,Mali,4.87
Malta,535k,Malta,1.53,Malta,83.2,Malta,69.1
Myanmar,54.6M,Myanmar,2.07,Myanmar,70.3,Myanmar,6.42
Montenegro,626k,Montenegro,1.63,Montenegro,76.6,Montenegro,18.9
Mongolia,3.45M,Mongolia,2.51,Mongolia,69.1,Mongolia,10.3
Mozambique,33.9M,Mozambique,4.8,Mozambique,59.5,Mozambique,2.12
Mauritania,4.86M,Mauritania,4.27,Mauritania,70.5,Mauritania,6.99
Mauritius,1.3M,Mauritius,1.43,Mauritius,76,Mauritius,17.9
Malawi,20.9M,Malawi,4.12,Malawi,64.3,Malawi,1.98
Malaysia,34.3M,Malaysia,1.92,Malaysia,75.7,Malaysia,35.5
Namibia,2.6M,Namibia,3.05,Namibia,61.6,Namibia,10.3
Niger,27.2M,Niger,6.79,Niger,62.5,Niger,3.06
Nigeria,224M,Nigeria,5.05,Nigeria,65.5,Nigeria,3.58
Nicaragua,7.05M,Nicaragua,2.02,Nicaragua,76.1,Nicaragua,12.9
Netherlands,17.6M,Netherlands,1.77,Netherlands,82.3,Netherlands,69.3
Norway,5.47M,Norway,1.83,Norway,83.5,Norway,78.2
Nepal,30.9M,Nepal,1.92,Nepal,72.3,Nepal,7.7
New Zealand,5.23M,New Zealand,1.92,New Zealand,82.4,New Zealand,45.2
Oman,4.64M,Oman,2.26,Oman,74.9,Oman,34.3
Pakistan,240M,Pakistan,3.07,Pakistan,66.4,Pakistan,5.18
Panama,4.47M,Panama,2.34,Panama,80.8,Panama,35.3
Peru,34.4M,Peru,2.21,Peru,81.1,Peru,12.3
Philippines,117M,Philippines,2.72,Philippines,72.3,Philippines,8.48
Papua New Guinea,10.3M,Papua New Guinea,3.35,Papua New Guinea,65.3,Papua New Guinea,4.28
Poland,41M,Poland,1.3,Poland,78.8,Poland,31.2
North Korea,26.2M,North Korea,1.85,North Korea,73.7,North Korea,3.28
Portugal,10.2M,Portugal,1.25,Portugal,82.4,Portugal,41.7
Paraguay,6.86M,Paraguay,2.31,Paraguay,77.1,Paraguay,19
Palestine,5.37M,Palestine,3.58,Palestine,73.8,Palestine,12.4
Qatar,2.72M,Qatar,1.77,Qatar,77,Qatar,113
Romania,19.9M,Romania,1.59,Romania,74.2,Romania,27.7
Russia,144M,Russia,1.79,Russia,73.6,Russia,22.4
Rwanda,14.1M,Rwanda,3.41,Rwanda,69.6,Rwanda,3.99
Saudi Arabia,36.9M,Saudi Arabia,2.28,Saudi Arabia,75.3,Saudi Arabia,50.4
Sudan,48.1M,Sudan,4.12,Sudan,70.7,Sudan,2.72
Senegal,17.8M,Senegal,4.3,Senegal,69.3,Senegal,6.41
Singapore,6.01M,Singapore,1.29,Singapore,85.4,Singapore,129
Solomon Islands,740k,Solomon Islands,3.49,Solomon Islands,59.6,Solomon Islands,3.58
Sierra Leone,8.79M,Sierra Leone,3.82,Sierra Leone,62.3,Sierra Leone,3.97
El Salvador,6.36M,El Salvador,1.94,El Salvador,76.6,El Salvador,13.3
Somalia,18.1M,Somalia,5.62,Somalia,58.8,Somalia,2.81
Serbia,7.15M,Serbia,1.65,Serbia,74.2,Serbia,22.1
South Sudan,11.1M,South Sudan,4.32,South Sudan,64.4,South Sudan,1.67
Sao Tome and Principe,232k,Sao Tome and Principe,4.05,Sao Tome and Principe,71.3,Sao Tome and Principe,5.48
Suriname,623k,Suriname,2.21,Suriname,73.3,Suriname,15.2
Slovak Republic,5.8M,Slovak Republic,1.53,Slovak Republic,78.2,Slovak Republic,27.3
Slovenia,2.12M,Slovenia,1.69,Slovenia,82.1,Slovenia,52.7
Sweden,10.6M,Sweden,1.91,Sweden,83.4,Sweden,60.7
Eswatini,1.21M,Eswatini,2.76,Eswatini,55.5,Eswatini,6.46
Seychelles,108k,Seychelles,2.14,Seychelles,74.4,Seychelles,24.4
Syria,23.2M,Syria,2.61,Syria,74.5,Syria,2.81
Chad,18.3M,Chad,5.26,Chad,60.9,Chad,3.48
Togo,9.05M,Togo,4.02,Togo,66,Togo,5.11
Thailand,71.8M,Thailand,1.42,Thailand,79.3,Thailand,17.5
Tajikistan,10.1M,Tajikistan,3.07,Tajikistan,70.1,Tajikistan,9.53
Turkmenistan,6.52M,Turkmenistan,2.6,Turkmenistan,71.4,Turkmenistan,12.7
Timor-Leste,1.36M,Timor-Leste,4.76,Timor-Leste,71.7,Timor-Leste,2.24
Tonga,108k,Tonga,3.37,Tonga,73.5,Tonga,9.29
Trinidad and Tobago,1.53M,Trinidad and Tobago,1.69,Trinidad and Tobago,75.5,Trinidad and Tobago,24.7
Tunisia,12.5M,Tunisia,2.05,Tunisia,78.7,Tunisia,13.6
Turkey,85.8M,Turkey,1.94,Turkey,79.3,Turkey,26.7
